"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,-0.82465469012409,-0.82465469012409,-0.82465469012409,-0.82465469012409,0,0,0,0,0
0,0,0,0,0,-0.82465469012409,1,0.680055357943659,0.680055357943659,0.680055357943659,0,0,0,0,0
0,0,0,0,0,-0.82465469012409,0.680055357943659,1,0.680055357943659,0.680055357943659,0,0,0,0,0
0,0,0,0,0,-0.82465469012409,0.680055357943659,0.680055357943659,1,0.680055357943659,0,0,0,0,0
0,0,0,0,0,-0.82465469012409,0.680055357943659,0.680055357943659,0.680055357943659,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,-0.82465469012409,-0.82465469012409,-0.82465469012409,-0.82465469012409
0,0,0,0,0,0,0,0,0,0,-0.82465469012409,1,0.680055357943659,0.680055357943659,0.680055357943659
0,0,0,0,0,0,0,0,0,0,-0.82465469012409,0.680055357943659,1,0.680055357943659,0.680055357943659
0,0,0,0,0,0,0,0,0,0,-0.82465469012409,0.680055357943659,0.680055357943659,1,0.680055357943659
0,0,0,0,0,0,0,0,0,0,-0.82465469012409,0.680055357943659,0.680055357943659,0.680055357943659,1
